task                                                   d$%  dtodo  dwjson  dreadmd  dedit  dfish   fmt   upd    ipy
http-weather                                         -64.9   +0.0    +0.0     -3.0   +0.0   +8.0   1.0   0.0  -11.0
hitl-completed-wired                                 -50.5   +0.0    +0.0     -5.0   -1.0   -1.0   2.0   0.0   -4.0
inclusive-gateway-forkjoin                           -72.7   +0.0    +0.0     -1.0   +0.0   +1.0   1.0   0.0   -6.0
callactivity-agentic-process                         -74.3   +0.0    +0.0     +2.0   -1.0   +0.0   1.0   0.0   +0.0
script-jint-guidance                                 -40.8   +0.0    +0.0     +4.0   +0.0   -7.0   1.0   0.0   -4.0
rpa-job                                              -50.7   +0.0    +0.0     -2.0   +0.0   -8.0   1.0   0.0   -4.0
e2e-customer-escalation                              -28.2   +0.0    +0.0     -1.0   -1.0   +0.0   0.0   1.0   +0.0
expr-computed-js                                     -24.3   +0.0    +0.0     -1.0   +0.0   -7.0   0.0   0.0   +6.0
feet-inches                                          -23.8   +0.0    +0.0     -6.0   +0.0  -12.0   1.0   1.0   -4.0
script-task-group-by                                 -40.8   +0.0    +0.0     +2.0   +0.0   +1.0   1.0   0.0   -9.0
edit-update-node                                     -67.4   +0.0    +0.0     -1.0   +0.0   +0.0   0.0   0.0   +0.0
event-trigger-start                                  -43.4   +0.0    +0.0     +4.0   +0.0   +0.0   1.0   0.0   +1.0
loop-multiply                                        -19.2   +0.0    +0.0     +0.0   +0.0   +0.0   0.0   0.0  -11.0
gateway-sequence-flows                               -15.6   +0.0    +0.0     -1.0   +0.0   -3.0   2.0   0.0   -3.0
author-validate                                      -34.8   +0.0    +0.0     -4.0   +0.0   -2.0   1.0   0.0   +1.0
edit-add-node                                        -42.8   +0.0    +0.0     +0.0   +0.0   +0.0   0.0   0.0   -1.0
edit-remove-node                                     -35.3   +0.0    +0.0     +0.0   +0.0   +0.0   0.0   0.0   -1.0
script-task-map                                      -14.3   +0.0    +0.0     +0.0   -1.0  +29.0   0.0   0.0   +2.0
hitl-brownfield-insert                               -22.3   +0.0    +0.0     -1.0   +0.0   +0.0   0.0   0.0   +0.0
parallel-fork-join                                   -45.3   +0.0    +0.0     -1.0   +0.0   +0.0   0.0   0.0   -1.0
registry-discovery                                   -34.4   +0.0    +0.0     +0.0   +0.0   +0.0   0.0   0.0   -5.0
timer-start                                          -23.8   +0.0    +0.0     -1.0   +1.0   -4.0   1.0   0.0   -5.0
debug-instance-inspect                               -37.9   +0.0    +0.0     -1.0   +0.0   +0.0   0.0   0.0   +0.0
