17:02:50 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: API routing: aws_bedrock
17:02:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/seed_jira.py
17:02:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [pre_run stdout] OK: wrote 3 seed issues (2 High / 1 other), tag=1e6656f8
17:17:21 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Success criteria: 2/2 passed, weighted score: 1.000
17:17:21 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/teardown_jira.py
17:17:24 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-154
17:17:25 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-155
17:17:26 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-156
17:17:26 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
17:17:26 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-lifecycle
17:17:26 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Task finished: status=SUCCESS duration=883.9s score=1.000 iterations=1
