23:57:44 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: API routing: aws_bedrock
23:57:45 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/seed_jira.py
23:57:45 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [pre_run stdout] OK: wrote 3 seed issues (2 High / 1 other), tag=a968cfbe
00:06:43 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Success criteria: 2/2 passed, weighted score: 1.000
00:06:43 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/teardown_jira.py
00:06:48 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-136
00:06:49 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-137
00:06:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: [post_run stdout] OK: deleted CE-138
00:06:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
00:06:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-lifecycle
00:06:51 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/00] orchestrator: Task finished: status=SUCCESS duration=556.5s score=1.000 iterations=1
