23:57:53 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: API routing: aws_bedrock
23:57:54 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_search_triage/seed_jira.py
23:58:07 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: [pre_run stdout] OK: seeded 2 issues ['CE-132', 'CE-133'] (tag=654e0449) for JQL search
00:04:48 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] evaluation.checker: Criterion 'run_command' FAILED (score=0.00, threshold=1.00): Command: python3 $TASK_DIR/check_jira_search_triage.py
00:04:48 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Success criteria: 1/2 passed, weighted score: 0.286
00:04:48 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_search_triage/teardown_jira.py
00:04:52 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: [post_run stdout] OK: deleted CE-132
00:04:53 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: [post_run stdout] OK: deleted CE-133
00:04:53 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
00:04:53 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-search-triage
00:04:53 [INFO   ] [default/skill-flow-ipe-jira-search-triage/00] orchestrator: Task finished: status=FAILURE duration=427.8s score=0.286 iterations=1
